year,month,day,hour,Prijs
2013,1,21,11,0.06472
2013,1,21,12,0.06472
2013,1,21,13,0.06472
2013,1,21,14,0.06191
2013,1,21,15,0.05599
2013,1,21,16,0.05567
2013,1,21,17,0.06148
2013,1,21,18,0.06134
2013,1,21,19,0.06135
2013,1,21,20,0.05596
2013,1,21,21,0.05093
2013,1,21,22,0.04987
2013,1,21,23,0.04574
2013,1,22,0,0.05034
2013,1,22,1,0.05013
2013,1,22,2,0.04621
2013,1,22,3,0.0373
2013,1,22,4,0.03752
2013,1,22,5,0.03962
2013,1,22,6,0.0479
2013,1,22,7,0.0582
2013,1,22,8,0.06482
2013,1,22,9,0.0631
2013,1,22,10,0.06437
2013,1,22,11,0.0655
2013,1,22,12,0.0639
2013,1,22,13,0.06256
2013,1,22,14,0.06076
2013,1,22,15,0.05969
2013,1,22,16,0.06073
2013,1,22,17,0.07507
2013,1,22,18,0.08133
2013,1,22,19,0.06704
2013,1,22,20,0.05733
2013,1,22,21,0.05546
2013,1,22,22,0.0552
2013,1,22,23,0.04907
2013,1,23,0,0.04825
2013,1,23,1,0.044
2013,1,23,2,0.044
2013,1,23,3,0.04056
2013,1,23,4,0.03881
2013,1,23,5,0.04254
2013,1,23,6,0.05205
2013,1,23,7,0.0681
2013,1,23,8,0.0749
2013,1,23,9,0.07498
2013,1,23,10,0.07579
2013,1,23,11,0.07425
2013,1,23,12,0.06748
2013,1,23,13,0.066
2013,1,23,14,0.06303
2013,1,23,15,0.05975
2013,1,23,16,0.06012
2013,1,23,17,0.0749
2013,1,23,18,0.09851
2013,1,23,19,0.07549
2013,1,23,20,0.06331
2013,1,23,21,0.05506
2013,1,23,22,0.05193
2013,1,23,23,0.04508
2013,1,24,0,0.04743
2013,1,24,1,0.04462
2013,1,24,2,0.04493
2013,1,24,3,0.04019
2013,1,24,4,0.03938
2013,1,24,5,0.04121
2013,1,24,6,0.0505
2013,1,24,7,0.06843
2013,1,24,8,0.07091
2013,1,24,9,0.07389
2013,1,24,10,0.07339
2013,1,24,11,0.07262
2013,1,24,12,0.06926
2013,1,24,13,0.06416
2013,1,24,14,0.06349
2013,1,24,15,0.06022
2013,1,24,16,0.0657
2013,1,24,17,0.07714
2013,1,24,18,0.07994
2013,1,24,19,0.07497
2013,1,24,20,0.06032
2013,1,24,21,0.05502
2013,1,24,22,0.05493
2013,1,24,23,0.04744
2013,1,25,0,0.04833
2013,1,25,1,0.04923
2013,1,25,2,0.04617
2013,1,25,3,0.04275
2013,1,25,4,0.03978
2013,1,25,5,0.04104
2013,1,25,6,0.05254
2013,1,25,7,0.0613
2013,1,25,8,0.06806
2013,1,25,9,0.0699
2013,1,25,10,0.06797
2013,1,25,11,0.06679
2013,1,25,12,0.062
2013,1,25,13,0.05798
2013,1,25,14,0.05391
2013,1,25,15,0.05192
2013,1,25,16,0.05515
2013,1,25,17,0.06228
2013,1,25,18,0.05905
2013,1,25,19,0.05539
2013,1,25,20,0.05485
2013,1,25,21,0.0542
2013,1,25,22,0.04994
2013,1,25,23,0.04744
2013,1,26,0,0.05237
2013,1,26,1,0.04759
2013,1,26,2,0.04494
2013,1,26,3,0.0383
2013,1,26,4,0.03635
2013,1,26,5,0.03644
2013,1,26,6,0.03645
2013,1,26,7,0.04287
2013,1,26,8,0.04592
2013,1,26,9,0.05397
2013,1,26,10,0.05884
2013,1,26,11,0.06479
2013,1,26,12,0.06479
2013,1,26,13,0.0548
2013,1,26,14,0.04994
2013,1,26,15,0.04744
2013,1,26,16,0.04744
2013,1,26,17,0.06493
2013,1,26,18,0.07301
2013,1,26,19,0.06225
2013,1,26,20,0.054
2013,1,26,21,0.04653
2013,1,26,22,0.05089
2013,1,26,23,0.04976
2013,1,27,0,0.04522
2013,1,27,1,0.03878
2013,1,27,2,0.03681
2013,1,27,3,0.03255
2013,1,27,4,0.03245
2013,1,27,5,0.03039
2013,1,27,6,0.03017
2013,1,27,7,0.0306
2013,1,27,8,0.0329
2013,1,27,9,0.03884
2013,1,27,10,0.04038
2013,1,27,11,0.04125
2013,1,27,12,0.04666
2013,1,27,13,0.04496
2013,1,27,14,0.04163
2013,1,27,15,0.04326
2013,1,27,16,0.044
2013,1,27,17,0.07172
2013,1,27,18,0.07969
2013,1,27,19,0.06262
2013,1,27,20,0.05283
2013,1,27,21,0.04744
2013,1,27,22,0.047
2013,1,27,23,0.04296
2013,1,28,0,0.03727
2013,1,28,1,0.03746
2013,1,28,2,0.032
2013,1,28,3,0.03352
2013,1,28,4,0.03188
2013,1,28,5,0.03657
2013,1,28,6,0.04244
2013,1,28,7,0.05974
2013,1,28,8,0.05795
2013,1,28,9,0.05869
2013,1,28,10,0.05832
2013,1,28,11,0.05617
2013,1,28,12,0.06139
2013,1,28,13,0.06
2013,1,28,14,0.05409
2013,1,28,15,0.05133
2013,1,28,16,0.05179
2013,1,28,17,0.05815
2013,1,28,18,0.06993
2013,1,28,19,0.06302
2013,1,28,20,0.05845
2013,1,28,21,0.0507
2013,1,28,22,0.04994
2013,1,28,23,0.04244
2013,1,29,0,0.03922
2013,1,29,1,0.03738
2013,1,29,2,0.03241
2013,1,29,3,0.03215
2013,1,29,4,0.03318
2013,1,29,5,0.03133
2013,1,29,6,0.03942
2013,1,29,7,0.05086
2013,1,29,8,0.05949
2013,1,29,9,0.05998
2013,1,29,10,0.06248
2013,1,29,11,0.064
2013,1,29,12,0.05636
2013,1,29,13,0.05412
2013,1,29,14,0.05453
2013,1,29,15,0.06
2013,1,29,16,0.04999
2013,1,29,17,0.0666
2013,1,29,18,0.09493
2013,1,29,19,0.05994
2013,1,29,20,0.04734
2013,1,29,21,0.04787
